Dia Prueba,Tiempo,Vibracion (mm/s),Temperatura del motor (°C),Corriente del motor (A),Presion (PSI),Caudal (m³/h),Nivel de Lubricacion (%),Tipo_Falla,Porcentaje_Riesgo,Recomendacion
1,08:01:00,1.1,60.0,20.5,79.8,122,95,Normal,0,Mantener el plan de mantenimiento preventivo rutinario.
2,08:02:00,4.6,82.0,20.7,85.4,121,59,Sobrecalentamiento,90,"Verificar sistema de refrigeración del motor, ventilación y medir aislamiento eléctrico."
3,08:05:00,2.9,69.0,21.0,91.25,121,80,Problema Hidraulico,10,"Evaluar cavitación, revisar apertura de válvulas y limpiar filtros de succión."
4,08:08:00,2.1,54.0,21.2,94.45,120,82,Problema Hidraulico,10,"Evaluar cavitación, revisar apertura de válvulas y limpiar filtros de succión."
5,08:10:00,4.7,72.0,21.5,89.25,120,76,Falla Mecanica,40,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
6,08:12:00,4.9,65.0,21.3,79.25,121,75,Falla Mecanica,30,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
7,08:15:00,2.3,56.0,21.8,97.26,119,64,Problema Hidraulico,10,"Evaluar cavitación, revisar apertura de válvulas y limpiar filtros de succión."
8,08:17:00,2.4,68.0,22.0,96.26,118,64,Problema Hidraulico,10,"Evaluar cavitación, revisar apertura de válvulas y limpiar filtros de succión."
9,08:20:00,4.6,72.0,22.4,120.12,118,75,Falla Mecanica,40,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
10,08:23:00,3.8,78.0,22.8,89.14,117,65,Falla Mecanica,40,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
11,08:26:00,3.61,70.0,23.0,93.15,116,77,Falla Mecanica,40,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
12,08:30:00,3.0,69.0,23.5,91.45,115,92,Problema Hidraulico,10,"Evaluar cavitación, revisar apertura de válvulas y limpiar filtros de succión."
13,10:05:00,4.5,73.0,24.0,102.12,114,71,Falla Mecanica,40,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
14,10:10:00,4.7,72.0,24.5,103.45,114,60,Falla Mecanica,40,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
15,10:13:00,3.5,69.0,25.0,94.19,113,78,Problema Hidraulico,10,"Evaluar cavitación, revisar apertura de válvulas y limpiar filtros de succión."
16,10:17:00,4.8,72.0,25.5,98.85,112,88,Falla Mecanica,50,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
17,10:20:00,3.9,74.0,26.0,99.35,111,73,Falla Mecanica,50,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
18,10:23:00,4.0,82.0,26.5,85.45,110,74,Sobrecalentamiento,75,"Verificar sistema de refrigeración del motor, ventilación y medir aislamiento eléctrico."
19,10:34:00,4.2,86.0,27.0,79.45,109,1,Sobrecalentamiento,90,"Verificar sistema de refrigeración del motor, ventilación y medir aislamiento eléctrico."
20,10:40:00,4.4,77.0,27.5,102.59,108,74,Falla Mecanica,50,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
21,10:50:00,4.6,71.0,28.0,105.78,107,74,Falla Mecanica,50,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
22,11:00:00,4.8,71.0,28.5,98.85,106,74,Falla Mecanica,50,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
23,11:05:00,5.0,73.8,29.0,100.2,105,70,Falla Mecanica,50,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
24,11:10:00,5.2,73.0,29.5,84.5,104,70,Falla Mecanica,40,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
25,11:15:00,1.9,69.0,20.8,97.8,122,80,Problema Hidraulico,10,"Evaluar cavitación, revisar apertura de válvulas y limpiar filtros de succión."
26,11:20:00,2.0,54.0,21.0,90.0,121,80,Problema Hidraulico,10,"Evaluar cavitación, revisar apertura de válvulas y limpiar filtros de succión."
27,11:25:00,4.8,66.0,21.3,93.0,120,82,Falla Mecanica,40,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
28,11:30:00,2.3,72.0,21.7,102.0,119,62,Problema Hidraulico,10,"Evaluar cavitación, revisar apertura de válvulas y limpiar filtros de succión."
29,11:35:00,2.5,77.0,22.1,108.21,118,60,Problema Hidraulico,10,"Evaluar cavitación, revisar apertura de válvulas y limpiar filtros de succión."
30,11:40:00,3.61,75.0,22.5,97.0,117,62,Falla Mecanica,40,"Revisar alineación del eje, balanceo de masa e inspeccionar rodamientos de inmediato."
