Caudal_Ls,Corriente_A,Temperatura_C,Vibracion_mm_s,Lubricacion_pct,Presion_PSI,Estado
62.81,69.5,67.73,3.71,64.64,92.86,Alerta
101.02,53.85,64.73,1.17,83.38,63.08,Normal
94.96,45.59,50.22,1.09,99.73,58.64,Normal
71.42,61.3,55.74,1.97,78.21,67.43,Normal
93.08,55.26,68.55,2.23,83.87,66.37,Normal
67.21,66.04,71.05,5.97,62.01,90.07,Alerta
75.88,56.25,69.41,1.83,94.57,50.6,Normal
67.18,73.57,84.44,3.62,65.77,97.76,Alerta
64.75,77.24,72.25,5.91,67.36,98.92,Alerta
73.25,61.1,53.61,1.04,76.33,63.97,Normal
85.53,43.96,45.71,2.33,94.28,44.17,Normal
59.61,68.91,91.63,4.65,72.04,81.67,Alerta
52.01,75.63,76.74,5.13,68.38,96.38,Alerta
55.58,75.82,93.65,3.12,72.52,95.56,Alerta
76.45,63.3,63.76,2.45,90.89,77.03,Normal
62.05,66.14,79.54,4.74,71.4,98.92,Alerta
89.7,60.66,56.81,1.37,83.4,44.75,Normal
23.97,90.97,114.11,9.5,21.69,127.93,Crítico
57.86,78.72,86.98,3.23,63.99,99.05,Alerta
40.24,89.45,110.01,7.63,20.79,29.89,Crítico
21.18,41.59,99.9,10.69,30.93,110.04,Crítico
74.6,60.31,67.4,2.74,75.72,71.22,Normal
107.83,52.09,58.31,1.44,76.23,47.41,Normal
27.96,106.25,113.18,6.38,34.92,114.03,Crítico
83.31,46.74,56.03,1.29,98.17,43.31,Alerta
31.76,106.8,97.06,10.06,26.26,125.99,Crítico
85.35,56.05,49.91,2.19,68.37,56.24,Normal
31.57,101.52,107.73,7.57,48.44,28.74,Crítico
67.01,67.83,83.67,3.05,60.25,91.97,Alerta
29.48,99.78,46.24,9.14,36.87,36.79,Crítico
98.58,46.98,51.33,2.34,87.52,48.94,Normal
74.46,41.84,63.64,2.13,87.29,54.9,Normal
97.3,48.26,57.9,1.52,76.42,42.27,Alerta
103.8,54.15,52.52,1.83,97.81,59.01,Normal
27.1,72.14,97.68,6.78,27.31,30.34,Alerta
100.35,52.16,52.75,1.37,95.52,63.81,Normal
64.97,68.56,75.21,5.42,65.68,93.87,Alerta
83.78,64.17,51.32,1.93,84.54,78.51,Normal
98.38,41.99,67.39,2.27,91.44,72.68,Alerta
50.09,66.52,84.04,5.58,70.96,89.73,Alerta
67.32,73.68,89.1,2.94,67.17,99.24,Crítico
102.34,49.49,53.62,2.45,95.32,62.28,Normal
32.24,92.23,114.9,11.07,84.71,35.24,Crítico
70.73,59.98,54.54,1.88,84.31,66.78,Normal
39.24,93.71,58.93,8.61,42.63,108.82,Crítico
87.61,63.07,47.49,1.75,76.13,73.52,Normal
77.97,48.83,58.05,2.45,85.21,49.52,Alerta
98.21,46.32,59.53,2.46,76.63,48.71,Normal
88.18,42.5,62.36,1.11,98.88,62.72,Normal
107.27,41.01,67.76,2.49,84.53,78.42,Alerta
77.43,49.71,50.5,2.45,97.2,72.28,Normal
29.84,94.71,114.31,7.64,44.91,33.8,Crítico
95.94,60.47,54.97,1.89,79.74,44.93,Normal
39.61,105.25,117.84,11.31,47.3,11.13,Crítico
100.04,46.14,55.51,2.26,78.66,59.37,Normal
68.09,76.55,77.7,4.06,69.71,87.9,Alerta
90.75,64.33,65.69,2.19,97.25,77.78,Normal
27.74,82.49,52.65,8.29,54.38,102.96,Crítico
89.51,41.17,47.52,2.29,97.3,52.17,Normal
92.1,58.12,54.69,1.41,87.24,52.19,Normal
82.04,43.39,52.08,2.21,82.52,73.55,Normal
60.99,77.93,85.4,5.24,66.72,86.09,Alerta
90.49,68.19,89.64,5.66,60.72,93.24,Alerta
100.22,42.49,57.8,1.75,95.71,63.3,Normal
95.74,63.34,64.49,1.9,93.86,79.9,Normal
28.39,41.2,115.98,7.79,56.04,33.65,Crítico
83.81,50.63,46.36,1.75,94.94,77.17,Normal
47.8,102.2,99.74,8.62,20.54,117.03,Crítico
61.45,74.05,83.21,3.16,69.89,97.43,Alerta
89.9,56.34,60.58,1.43,77.36,51.79,Normal
50.14,67.95,90.76,4.86,67.02,89.76,Alerta
106.9,44.09,47.42,5.21,90.07,72.31,Normal
82.56,49.83,48.63,1.27,81.66,55.46,Normal
76.06,52.27,54.38,1.27,94.01,51.53,Normal
109.39,61.59,57.99,1.09,87.41,55.14,Normal
25.69,106.62,112.34,8.17,27.23,28.45,Crítico
107.47,56.21,68.66,1.01,92.3,72.66,Alerta
62.98,69.29,84.99,5.99,62.37,94.26,Alerta
24.86,83.22,108.57,9.33,40.09,73.03,Crítico
108.54,53.77,55.01,1.51,93.61,56.83,Normal
35.54,101.13,99.96,8.61,53.54,131.48,Crítico
77.01,59.75,50.59,1.6,94.87,47.01,Normal
54.03,66.17,74.65,4.03,68.73,84.31,Alerta
92.03,41.61,66.9,2.76,99.31,57.63,Normal
54.52,74.02,73.05,3.67,66.01,87.64,Alerta
84.74,40.56,63.17,1.67,89.36,45.17,Normal
84.02,45.03,60.84,2.18,85.65,75.63,Normal
106.24,58.91,69.51,5.97,82.42,56.15,Normal
49.19,98.36,110.25,6.18,26.43,120.98,Crítico
63.15,76.28,72.84,4.95,61.82,97.03,Alerta
68.13,78.87,90.0,3.18,62.92,82.54,Alerta
64.85,75.69,73.9,5.05,67.87,92.41,Alerta
32.82,82.4,109.14,10.36,40.77,102.92,Alerta
100.69,51.8,59.98,2.68,99.0,42.82,Normal
87.7,59.88,51.04,1.57,92.57,85.13,Normal
88.56,58.31,47.12,2.68,86.31,75.58,Normal
26.62,82.75,115.11,11.73,46.53,125.51,Crítico
60.89,79.02,94.16,5.47,72.88,97.46,Normal
67.64,68.43,87.19,5.64,63.45,91.03,Alerta
57.01,68.23,84.76,4.06,61.27,81.05,Alerta
71.34,61.87,46.43,1.25,84.01,73.06,Normal
55.53,72.19,73.49,5.14,61.23,96.45,Alerta
82.31,53.96,50.13,5.48,78.19,50.37,Normal
30.71,102.74,103.64,11.51,51.81,23.52,Crítico
53.4,68.73,86.23,3.5,67.83,98.59,Alerta
109.16,41.3,60.35,2.75,61.4,79.22,Normal
85.83,63.94,65.23,1.48,87.89,49.58,Alerta
54.37,70.78,80.06,5.69,72.83,93.52,Alerta
37.92,101.26,117.18,7.08,27.55,106.93,Crítico
69.52,63.6,61.49,2.32,84.42,62.41,Alerta
57.15,77.17,72.73,4.62,72.44,85.27,Alerta
67.59,73.52,88.35,3.73,69.12,93.77,Alerta
76.16,50.9,57.17,1.14,97.96,47.51,Normal
102.38,64.99,60.86,1.68,94.94,56.5,Normal
24.88,99.49,98.36,6.6,23.9,21.23,Crítico
78.06,52.92,46.67,1.57,81.77,41.58,Normal
58.73,75.87,76.69,3.85,66.59,95.49,Alerta
92.8,58.44,60.77,1.33,80.89,53.56,Normal
107.67,52.81,56.67,1.8,72.26,64.69,Normal
81.59,58.79,49.5,1.8,77.22,66.45,Normal
51.72,71.84,90.38,2.91,67.39,82.97,Alerta
71.66,53.42,47.01,2.57,90.16,52.24,Normal
67.75,79.73,90.92,3.54,65.21,98.62,Alerta
64.73,73.22,76.45,5.62,61.85,98.57,Alerta
78.6,60.75,74.9,1.48,84.12,77.74,Normal
105.2,53.8,52.56,1.37,78.57,63.31,Normal
93.07,63.92,45.18,1.02,79.18,43.98,Normal
79.33,50.1,65.02,2.38,78.3,61.71,Normal
46.16,101.69,70.8,10.77,44.65,139.0,Crítico
86.79,42.65,55.34,1.08,81.26,51.88,Normal
68.37,77.18,75.26,4.38,61.39,91.42,Alerta
72.5,42.95,46.66,2.37,79.49,68.55,Normal
94.54,43.33,48.04,1.53,79.47,50.83,Alerta
63.94,66.27,84.15,4.16,61.52,92.66,Alerta
44.58,96.74,99.57,9.9,50.49,22.45,Alerta
38.35,105.07,111.54,8.42,49.62,134.36,Crítico
90.91,61.1,59.73,1.55,85.54,59.94,Alerta
86.0,67.17,76.29,3.41,73.81,83.51,Alerta
108.22,61.14,66.37,2.13,79.27,51.34,Normal
85.49,90.47,105.55,11.04,41.2,20.88,Crítico
91.57,46.54,63.86,2.07,83.93,55.08,Normal
52.54,71.58,78.85,3.2,67.57,90.01,Alerta
52.15,72.39,86.06,4.42,66.03,99.96,Alerta
107.96,55.01,67.38,2.65,84.64,77.67,Normal
52.27,76.52,92.09,5.05,72.68,99.97,Alerta
53.19,75.47,89.84,3.83,69.71,82.58,Alerta
54.13,68.53,86.83,2.97,68.26,99.46,Alerta
84.18,42.67,57.73,1.17,82.9,64.68,Normal
84.84,69.26,48.62,1.03,99.95,76.31,Normal
71.56,47.67,58.77,2.28,94.07,46.93,Normal
92.27,77.22,71.21,3.65,73.42,83.82,Alerta
62.04,66.65,93.3,4.31,68.5,83.86,Alerta
